type,date,time,input_datasize_bytes,duration_s,throughput_bytes_s,throughput_per_node_bytes_s,cpu_used_percent,ram_used_bytes,disk_read_bytes_s,disk_write_bytes_s,network_receive_bytes_s,network_transmit_bytes_s,num_nodes,num_executors,executor_cores,executor_memory_mb,input_split_mb,buffer_kb,max_size_in_flight_mb,parallelism,date,time
ScalaSparkWordcount,2024-12-07,15:56:13,10933074882,214.96,50860973,50860973,44.35919913419913,1127455092.3636363,29205781.499567095,1832349.7373737372,23421960.647619043,22730721.46271645,1,2,1,640m,,,,10.0,2024-12-07,15:56:14
ScalaSparkWordcount,2024-12-07,16:00:21,10933074882,213.879,51118038,51118038,53.67691029900334,1334388783.627907,20543081.12159468,19268184.86762643,30052368.3847176,30023131.485769648,1,2,1,640m,,,,12.0,2024-12-07,16:00:21
ScalaSparkWordcount,2024-12-07,16:08:58,16399654344,287.191,57103649,57103649,48.78502722323048,1187279554.2068965,35531169.69453519,1488684.7987094175,27816458.193345428,27253547.747459162,1,2,1,640m,128.0,,,,2024-12-07,16:08:58
ScalaSparkWordcount,2024-12-07,16:14:05,16399654344,282.879,57974096,57974096,38.40541979949876,998437582.5964912,28026584.177777775,1049218.117293233,21790866.506234337,21396091.988753136,1,2,1,640m,256.0,,,,2024-12-07,16:14:06
ScalaSparkWordcount,2024-12-07,16:20:31,16399654344,285.432,57455556,57455556,50.43417487684728,1287072450.2068965,37348007.13563218,1541887.747783251,29055484.68103448,28468480.394304186,1,2,1,640m,512.0,,,,2024-12-07,16:20:31
ScalaSparkWordcount,2024-12-07,16:25:21,16399654344,277.05,59193843,59193843,47.34133597883598,1295950262.857143,34623394.44938272,1468540.2525573191,27038782.265839953,26473376.369212963,1,2,1,640m,1024.0,,,,2024-12-07,16:25:22
ScalaSparkWordcount,2024-12-07,16:30:50,16399654344,298.205,54994565,54994565,45.789378531073446,1287847594.6666667,32758638.28730697,1312500.7957815444,25660848.07621469,25171442.20920904,1,2,1,640m,,,,4.0,2024-12-07,16:30:51
ScalaSparkWordcount,2024-12-07,16:36:10,16399654344,270.185,60697871,60697871,50.51440823327616,1316133645.9636364,38239670.8036135,1692957.1275014293,30088008.730051458,29472406.620994855,1,2,1,640m,,,,8.0,2024-12-07,16:36:10
ScalaSparkWordcount,2024-12-07,16:41:02,16399654344,278.276,58933053,58933053,49.88981426724739,1285798912.0,35941892.12595585,1609636.1619344016,28121165.45887574,27536158.197700094,1,2,1,640m,,,,10.0,2024-12-07,16:41:02
ScalaSparkWordcount,2024-12-07,16:46:20,16399654344,296.767,55261044,55261044,29.341436781609186,732628309.3333334,20699965.24383142,79510.8928735632,15757213.049367817,15750387.041896552,1,2,1,640m,,,,12.0,2024-12-07,16:46:20
ScalaSparkWordcount,2024-12-07,17:04:00,21866174894,393.817,55523694,55523694,45.163794222654985,1401524898.0253165,31152738.699729525,969665.7601211728,24193494.17779941,23829590.310094126,1,2,1,640m,128.0,,,,2024-12-07,17:04:00
